majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
100696.3192534067,75430.6187382105,101784.28543573094,112124.26167201166,112124.26167201166,Project 234
80076.29113420073,66288.1220471392,79317.76909750642,84845.19723627718,84845.19723627718,Project 235
41678.35612170967,45823.92819952861,40078.83465360715,40367.52079874577,40367.52079874577,Project 236
24913.780126300764,34079.94528776269,24322.496627779907,22664.486116432494,22664.486116432494,Project 237
59279.19884365589,56290.98210475322,57610.00863346617,60430.04934109146,60430.04934109146,Project 238
41231.85196125565,46895.490873013856,41979.38755154728,39561.105304625606,39561.105304625606,Project 239
25528.045712347648,35770.16652433976,27178.413410415513,21058.62052401252,21058.62052401252,Project 240
72637.43147595378,62853.3833236928,71191.29133603831,75723.45168128613,75723.45168128613,Project 241
104683.90902109584,76439.36650140578,104421.2468946938,112884.10615336926,112884.10615336926,Project 242
30698.416499900257,37105.24553064494,28078.86278037235,23740.894051391882,23740.894051391882,Project 243
37935.25027525051,45239.9606819374,38622.43392204516,38210.33341292568,38210.33341292568,Project 244
28718.818678147283,38956.27773963416,31459.81324096498,25884.006900966167,25884.006900966167,Project 245
30091.78996900941,37075.240848137575,28522.603687532042,26443.93836027429,26443.93836027429,Project 246
39391.960573815915,44294.18256690519,37264.71736289458,35172.14853303158,35172.14853303158,Project 247
26122.665974651074,34976.95644826499,24834.039851048747,23659.301736572954,23659.301736572954,Project 248
151399.03205194714,92496.7095017966,151805.66534292983,172591.67705133828,172591.67705133828,Project 249
68107.65783730146,61798.01689850998,68765.75782122203,73511.14380408793,73511.14380408793,Project 250
26443.596325719933,34428.81052691645,24878.2927114676,21613.955070969674,21613.955070969674,Project 251
34945.07688563992,40481.25222639629,32574.243318699948,30173.00882442576,30173.00882442576,Project 252
34579.58172895162,41401.61907768341,34164.96960008812,29446.004089979844,29446.004089979844,Project 253
32152.24370152251,41341.74577432612,33832.797382000266,29992.787168579827,29992.787168579827,Project 254
36784.9932078147,41774.3400021892,35194.806588989435,31661.390903146887,31661.390903146887,Project 255
54404.82871075032,56571.415006083764,59070.99767870622,59011.208461996874,59011.208461996874,Project 256
47255.018378953915,50239.66013824079,47088.66542002961,45896.03319425454,45896.03319425454,Project 257
46946.9448217561,50086.318792853875,46672.064224236456,46247.77574008089,46247.77574008089,Project 258
121291.86500884901,82279.45954399463,120477.9249090544,133805.9106505844,133805.9106505844,Project 259
54510.350578907746,54615.89475824786,54979.51346012674,56616.59291799365,56616.59291799365,Project 260
117805.57714445227,81693.57541463208,118802.7216544378,133424.90454992917,133424.90454992917,Project 261
30501.479838711388,36800.459467036904,28150.967136224564,26657.049937602806,26657.049937602806,Project 262
52149.138527693685,53841.85980098886,53284.4694192803,53801.53942786264,53801.53942786264,Project 263
63252.86023513857,58520.285412078185,62400.42132560193,65482.652053881,65482.652053881,Project 264
22724.104296460362,31732.760218501346,21614.921397011214,19126.950658588397,19126.950658588397,Project 265
27236.167231070856,37008.823457802224,29358.022239622307,22601.08146716058,22601.08146716058,Project 266
41695.36295013287,45857.406588736405,40474.02912877448,41350.68346843796,41350.68346843796,Project 267
44631.6272247914,48461.91168530506,44837.876842084755,44928.860637340775,44928.860637340775,Project 268
32562.37546219129,41409.51382134071,34428.05002945333,29125.012894543175,29125.012894543175,Project 269
49256.74335820296,54004.85669205148,53965.79724236066,53758.97756832901,53758.97756832901,Project 270
28200.510495645907,37684.48297869271,30073.519319978743,21175.66078058569,21175.66078058569,Project 271
73554.66822069052,62409.846472749465,70417.8733887357,79314.5819812354,79314.5819812354,Project 272
33057.97116189942,40543.531919253444,32559.51372288697,30902.09786644032,30902.09786644032,Project 273
26270.65276685265,34500.82148410454,25034.052941359158,22877.15134157235,22877.15134157235,Project 274
76546.20599389922,64410.272184711386,75162.48459973598,77941.28216187454,77941.28216187454,Project 275
29953.79920292202,37808.81198438342,28404.070867914674,26531.190632150683,26531.190632150683,Project 276
43366.10418291189,48270.17379291928,44560.25433975012,40672.69739658547,40672.69739658547,Project 277
36466.506992481496,43527.92459301832,37644.19439232054,34642.3305992975,34642.3305992975,Project 278
30273.90264589735,39984.19370031327,32342.968795514833,26870.081072046905,26870.081072046905,Project 279
48330.81730272361,49131.94644598335,45120.6211433844,45649.16589017224,45649.16589017224,Project 280
57084.90115083755,55602.44673682365,56730.25199297036,56596.944998750005,56596.944998750005,Project 281
34665.39250861555,40801.33159418899,33075.79318626402,31058.500012761295,31058.500012761295,Project 282
66032.78857043444,59550.72648761682,64224.72121056592,67346.38398136705,67346.38398136705,Project 283
72135.7033910702,64471.11689231445,74985.27800911746,78110.52142389394,78110.52142389394,Project 284
96667.08001506502,73328.81147551644,96371.93344508769,104376.32575994084,104376.32575994084,Project 285
23971.43956435826,33249.63929771517,24346.968726029554,21565.672508626747,21565.672508626747,Project 286
38216.873178604845,42302.92523278763,36751.63585913187,28694.63722230407,28694.63722230407,Project 287
50906.4015179064,52826.538399697376,52164.86335659267,49448.07103735391,49448.07103735391,Project 288
29260.38657641253,39752.96156439323,32637.931512893472,27692.884482210477,27692.884482210477,Project 289
43267.778189257784,47629.6209133703,42609.26698097777,41567.20943156597,41567.20943156597,Project 290
32201.735693244344,39463.71140530835,31101.18704158358,28061.748557119077,28061.748557119077,Project 291
34266.26513855615,42861.295165513475,36570.42237446358,30455.37640517746,30455.37640517746,Project 292
55139.1203410997,54997.14715251428,56014.39413444225,56523.11400542976,56523.11400542976,Project 293
30512.8667231384,37386.40446919999,28823.48563954276,23246.281041421018,23246.281041421018,Project 294
57766.96877085079,53497.69917751183,52903.2079582297,54687.21716924947,54687.21716924947,Project 295
36869.938562968404,43952.40240253735,36071.56699751415,35701.20690960991,35701.20690960991,Project 296
37950.70190376731,42877.14661173047,35279.41891621497,34526.82970200746,34526.82970200746,Project 297
28396.367895936895,38628.41888810808,30587.28472983955,26083.337035657994,26083.337035657994,Project 298
33721.342637396934,40701.877368110894,34030.30111615718,27620.55664457927,27620.55664457927,Project 299
28796.309101096314,37605.20093208281,28731.63090856431,26434.5502040378,26434.5502040378,Project 300
53569.600497390515,53477.79896447104,52875.93208080802,53181.8127713205,53181.8127713205,Project 301
41031.72918356643,47467.60771216906,42962.513336108284,39116.68633269134,39116.68633269134,Project 302
27676.051769478814,36082.071621442934,28052.811558582573,21556.270484088305,21556.270484088305,Project 303
56543.2847945604,55342.53426876401,56222.83885046871,59775.86127353989,59775.86127353989,Project 304
87351.97784823549,69727.89920051598,87369.07923481011,94643.04261172691,94643.04261172691,Project 305
30249.076854439685,39305.18767239258,30307.86279503654,26693.51821799312,26693.51821799312,Project 306
