majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
62542.826312504454,57333.352435821274,59997.36995678456,64510.37838071272,64510.37838071272,Project 183
28043.650506803708,36229.18693135452,28095.17719582821,24645.90402428159,24645.90402428159,Project 184
56426.69643076532,53728.44849176862,53681.94658633842,53514.098280725266,53514.098280725266,Project 185
48562.01380649081,48795.02428105257,44664.754455736474,46208.56089673063,46208.56089673063,Project 186
44274.7967492657,47774.40279038554,43213.881154785704,44064.36937919809,44064.36937919809,Project 187
37665.65017136398,42897.58080736048,35728.47844795165,34015.1850516842,34015.1850516842,Project 188
35399.357714674414,43713.54244403199,37136.208387878636,34129.61475411912,34129.61475411912,Project 189
52439.19658248295,51190.72163650967,49521.22635601626,48334.349846920166,48334.349846920166,Project 190
142430.46626126973,90507.56610583789,146367.98548008365,163646.3514042009,163646.3514042009,Project 191
41931.02817900304,46574.79949106531,41729.03209000378,39139.37459962407,39139.37459962407,Project 192
55170.85073181492,54168.67038053591,53980.24813612036,53628.18760854715,53628.18760854715,Project 193
96230.3565448958,73149.13869165616,96233.72372427615,105967.78728077427,105967.78728077427,Project 194
46598.11357259325,50469.71305407304,47074.13765999997,47856.00413237575,47856.00413237575,Project 195
50774.595535793,53240.09301866203,52471.111826829256,52635.7729527823,52635.7729527823,Project 196
37275.543244234075,42903.646798537295,36047.899991821454,33580.03423553157,33580.03423553157,Project 197
77905.27262907228,64508.16939937908,75588.35606659036,79819.83463595014,79819.83463595014,Project 198
35259.39856096115,43870.58329870106,38130.840891301275,34162.16534494511,34162.16534494511,Project 199
34941.263292813834,38896.640015246565,31699.59621381665,28460.86368330941,28460.86368330941,Project 200
32801.08516832447,39989.67480363954,32785.40571593004,29301.728077935033,29301.728077935033,Project 201
27550.787311394848,36196.33831736418,27664.48131535683,23132.867761092766,23132.867761092766,Project 202
38181.64269044567,44765.22099337776,38409.23667672884,39121.81113787955,39121.81113787955,Project 203
55122.14179742478,54451.067460486156,55565.51838390859,54131.98711960507,54131.98711960507,Project 204
30087.010570082657,40239.13275484574,32588.061470229728,28546.907580731797,28546.907580731797,Project 205
57622.36272412499,56666.89702894695,59938.29427121182,59169.200948016645,59169.200948016645,Project 206
53464.381415922166,53079.53315705861,53066.09838415995,54435.91929845607,54435.91929845607,Project 207
45539.03768458903,49760.05824337661,46699.2202065976,45602.37402681148,45602.37402681148,Project 208
126238.35263228057,84166.37729877149,126632.70699352084,142220.83184142993,142220.83184142993,Project 209
25098.45493951553,35303.23917090209,25417.143949414927,23045.546211536745,23045.546211536745,Project 210
23495.41641365638,34050.028013895804,25105.50139861664,20662.912089568053,20662.912089568053,Project 211
58686.73386644648,54594.09276995576,54539.3970096675,57377.80722799783,57377.80722799783,Project 212
127624.58004763519,84316.15366911986,127346.9257894111,142483.90779005975,142483.90779005975,Project 213
42671.015485958844,46642.2006194916,41820.82630395315,38397.03528222708,38397.03528222708,Project 214
30109.081022396404,39758.14843988529,32095.37588811092,26638.132470215234,26638.132470215234,Project 215
73304.48366871048,63447.446762633175,73119.40211286975,77390.61490922554,77390.61490922554,Project 216
40089.71892977634,43147.730079839515,35850.7220954572,33665.89051844241,33665.89051844241,Project 217
50766.888802768495,51901.62851172192,50541.85255140247,49111.463835230905,49111.463835230905,Project 218
50966.53191163591,52817.29932195888,51525.3255222666,52871.547242839806,52871.547242839806,Project 219
57506.98487587304,55056.91744362432,56543.316220081964,58993.25054381557,58993.25054381557,Project 220
43083.76888811352,47453.29683437292,42734.88065431605,40977.294781790944,40977.294781790944,Project 221
41970.39153446321,47094.149569059635,42631.93900665407,40207.233473153785,40207.233473153785,Project 222
41798.910494941796,46342.30613713174,40867.215812009,41229.905723772266,41229.905723772266,Project 223
35529.41571867568,43684.31898022685,37805.64051351958,33237.773317533036,33237.773317533036,Project 224
69748.26089250723,61111.3796493712,68130.64644958927,71398.49901047957,71398.49901047957,Project 225
45703.8784044264,47400.13789544987,42577.29110010818,43014.01339307058,43014.01339307058,Project 226
30683.12688127759,39173.183415250845,31895.80885213397,24391.0589896985,24391.0589896985,Project 227
68174.09097371134,61416.63698018601,70183.71160863392,66928.01188631608,66928.01188631608,Project 228
57848.54914162989,56083.0366936982,57505.83076542901,59129.186989634945,59129.186989634945,Project 229
47834.679743862696,50421.76362988992,47761.7953983331,47482.59575227481,47482.59575227481,Project 230
37206.08746189287,44637.42201751447,38517.31715407771,37020.350917409014,37020.350917409014,Project 231
29127.240396172794,38323.92664121616,30093.23185136691,25850.923772407867,25850.923772407867,Project 232
70948.48781366381,62729.0824312141,71324.97924151752,75949.83487126922,75949.83487126922,Project 233
86589.72786949067,68396.27373286596,84661.57457984993,89993.26823093246,89993.26823093246,Project 234
36143.270176840175,42016.489294176914,34835.6573986893,32918.17160609383,32918.17160609383,Project 235
38732.25151569725,45411.2937347412,40205.74217752395,36122.4198699451,36122.4198699451,Project 236
40855.56790542754,45196.09802169583,39492.179360858194,39154.30166533602,39154.30166533602,Project 237
20856.837951232716,32225.31285654882,22775.043115904115,18639.122214221672,18639.122214221672,Project 238
61374.14217559948,58004.4346567526,61284.581634510825,64513.48333563908,64513.48333563908,Project 239
28622.204751272282,36630.4093232358,30226.83621718245,25523.26362525166,25523.26362525166,Project 240
37629.61457781495,44280.69379982597,37621.65780481287,37278.60964032823,37278.60964032823,Project 241
99638.23328604276,74413.89449507049,99559.63392498635,107883.36636013631,107883.36636013631,Project 242
54457.79333698714,54981.19862712769,56449.558436321364,56855.39141260333,56855.39141260333,Project 243
51178.03357515587,51389.896772277076,48968.57211764371,52922.82051990797,52922.82051990797,Project 244
32883.991812150656,41712.54711037785,34019.95594900707,31312.094823067695,31312.094823067695,Project 245
40149.76954505618,45065.658931870865,39043.18596906699,40912.01956924627,40912.01956924627,Project 246
29612.294854052838,35916.14564489823,27937.335752110048,25218.88289619769,25218.88289619769,Project 247
75486.46201833629,64234.45478266363,75220.1194149908,78334.80406517017,78334.80406517017,Project 248
48566.35188411111,51918.77887648583,50257.04610932913,51279.42111132801,51279.42111132801,Project 249
29840.833782915743,39052.20383565715,31297.443330736958,26601.965483645756,26601.965483645756,Project 250
89934.31230505028,72045.84549013601,94043.03187189532,98383.30726289454,98383.30726289454,Project 251
34629.766019739465,43703.07917819555,36079.30653733074,36454.26068196275,36454.26068196275,Project 252
31821.1300429497,40208.253843047205,32304.39983450618,31896.21062909442,31896.21062909442,Project 253
92560.21819123672,71464.97018972233,91910.19389322249,99444.07764186799,99444.07764186799,Project 254
29628.492143182895,36614.46212885067,27801.358608049854,27065.212310532515,27065.212310532515,Project 255
42211.97121567657,46440.107772590796,41199.00998092355,39376.432736857976,39376.432736857976,Project 256
29573.264926995154,38061.541553404524,29739.789376716748,26232.073638904512,26232.073638904512,Project 257
27485.514253154768,36841.69996463138,27727.25637678867,24283.340574660062,24283.340574660062,Project 258
25976.819163241216,37008.75728711563,29525.63474261832,23666.92387621965,23666.92387621965,Project 259
58729.65988691817,54952.23923392021,55905.335730938496,58592.844233289856,58592.844233289856,Project 260
46574.11544516708,50462.49546001788,48149.52264714801,47821.920801278495,47821.920801278495,Project 261
54326.32131780342,56215.80251503878,58859.85586784788,60366.8015770093,60366.8015770093,Project 262
60698.779639216235,56931.96527130407,59884.85200299382,60616.29944152903,60616.29944152903,Project 263
56151.04807784431,56526.82896599601,58610.18048302585,59712.329975736015,59712.329975736015,Project 264
40458.52251834547,47039.03238930595,41792.41937758572,40234.65941433048,40234.65941433048,Project 265
38143.87524087077,44937.683355498426,38601.12692983769,36955.85259857253,36955.85259857253,Project 266
27669.18750291172,34710.89294512121,25859.601970808588,23025.3634020589,23025.3634020589,Project 267
31220.88989479229,36460.38684302396,28858.04851684902,25570.39292830319,25570.39292830319,Project 268
59667.215416477404,57198.72854622113,59596.80344388056,63089.20310875366,63089.20310875366,Project 269
164636.95488042693,96349.67589156245,165817.62666552106,186726.9331306454,186726.9331306454,Project 270
40349.59901641081,47972.84893855313,43797.7365986321,43422.201037900886,43422.201037900886,Project 271
33807.31312592351,40537.0167912401,32109.819305157733,29585.921941902834,29585.921941902834,Project 272
31066.9624145541,40839.38851917576,33520.90591841202,30076.768928879956,30076.768928879956,Project 273
71531.5164370263,61690.31641355276,69164.46598247756,74056.05345411832,74056.05345411832,Project 274
53121.95590229809,52228.470782103985,50767.740806291724,54687.695786226825,54687.695786226825,Project 275
29352.30022136191,36472.40731079716,27686.826552723607,24306.681694500126,24306.681694500126,Project 276
32691.091603679142,41847.76725649016,34388.39812809023,31163.69112154024,31163.69112154024,Project 277
66428.80282601874,60333.775142790204,66347.43957717244,69325.46956659829,69325.46956659829,Project 278
48009.86962397063,50359.26326113432,47062.29203489369,50307.34522910932,50307.34522910932,Project 279
55803.54757266696,55647.14696279735,57167.82812354656,58521.329883710256,58521.329883710256,Project 280
42604.44416265096,47117.65286616699,42024.48800377639,38834.57529545927,38834.57529545927,Project 281
60694.432250828984,55336.99268010803,56970.77150640189,54700.72116608139,54700.72116608139,Project 282
114899.92201489395,79985.00580176787,114782.91188687786,126991.06836128735,126991.06836128735,Project 283
54644.22540179743,53763.496595648,53959.53697894492,55235.346783598376,55235.346783598376,Project 284
41797.33282198284,48956.32470981798,44772.238048161096,44656.12604676634,44656.12604676634,Project 285
92255.2158039513,70563.25167002369,89690.84161684765,98841.71533584052,98841.71533584052,Project 286
40007.07095838846,43410.45559495605,36013.78657153386,37860.68991238375,37860.68991238375,Project 287
31466.737370407518,41014.52932322961,32987.25064822085,30570.79989412166,30570.79989412166,Project 288
25756.79895581123,37679.22582308103,29895.59744911029,25209.153498264026,25209.153498264026,Project 289
45909.8140700373,47357.725952847075,42358.62487433038,42917.26782440698,42917.26782440698,Project 290
46247.463907623016,50274.06137777999,47267.32803315869,46561.98810366246,46561.98810366246,Project 291
61570.93776239671,57373.77897736407,60780.96504076714,60664.314794943886,60664.314794943886,Project 292
94899.30598016932,72549.58111466533,95055.96803436207,106551.94361489547,106551.94361489547,Project 293
38284.1396241703,46183.38547104206,40499.363186172915,40234.16225380177,40234.16225380177,Project 294
44836.95816412103,47658.627241345435,43092.55382215009,40898.032239401764,40898.032239401764,Project 295
31663.485006931867,36692.506743078644,27911.234878925417,24916.7390502276,24916.7390502276,Project 296
84661.36044780046,67127.60653153334,81700.01109487729,89750.78763074637,89750.78763074637,Project 297
34304.18561253735,39543.04646091529,31935.38702430649,28403.999980560417,28403.999980560417,Project 298
35468.936598370325,42918.61207281419,36032.86634108377,32829.76740752839,32829.76740752839,Project 299
27987.67588275375,38108.95394750284,30306.352777981414,26580.17347850071,26580.17347850071,Project 300
38471.412094623694,44652.66394507915,39187.04119403003,35886.424005702866,35886.424005702866,Project 301
39193.17036809241,46273.16340700093,41503.60393444145,38486.41292606592,38486.41292606592,Project 302
40952.45005331053,45953.981237631684,40732.227670189626,39361.15086388806,39361.15086388806,Project 303
47671.64993818711,50824.96177986065,48620.85145809049,48311.71665941812,48311.71665941812,Project 304
41286.167161957936,48130.77931939973,43980.50660116894,41156.45091425847,41156.45091425847,Project 305
44350.34412564497,49020.69713896446,45577.124070106955,45584.533460844345,45584.533460844345,Project 306
